raw_row_number,date,time,zipcode,zcta_race,district,subject_age,subject_race,subject_sex,officer_id_hash,department_name,type,arrest_made,citation_issued,warning_issued,outcome,contraband_found,search_conducted,search_vehicle,search_basis,reason_for_stop,raw_subject_race_code,raw_subject_ethnicity_code,raw_search_authorization_code,raw_intervention_disposition_code
1317,December,0:11:00,6103,white,DOWNTOWN,34,white,female,64bd53255b,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Other,W,N,N,I
1321,December,1:10:00,6103,white,DOWNTOWN,27,white,male,51f98ef174,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Other,W,N,N,I
1313,December,3:20:00,6114,hispanic_or_latino,SHELDON-CHARTER OAK,50,hispanic,female,1846878e1c,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Traffic Control Signal,W,H,N,I
1288,December,9:25:00,6106,hispanic_or_latino,PARKVILLE,52,white,male,1846878e1c,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Moving Violation,W,N,N,I
1294,December,9:27:00,6106,hispanic_or_latino,SHELDON-CHARTER OAK,32,hispanic,female,64c45ad59f,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Traffic Control Signal,W,H,N,I
1326,December,9:57:00,6106,hispanic_or_latino,SHELDON-CHARTER OAK,43,black,female,64c45ad59f,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Traffic Control Signal,B,N,N,I
1295,December,10:19:00,6106,hispanic_or_latino,SHELDON-CHARTER OAK,25,white,female,64c45ad59f,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Traffic Control Signal,W,N,N,I
1281,December,10:21:00,6106,hispanic_or_latino,SHELDON-CHARTER OAK,34,black,male,09739d95d7,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Window Tint,B,N,N,N
1302,December,10:25:00,6103,white,DOWNTOWN,24,hispanic,female,8d927f52b8,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Suspended License,W,H,N,M
1291,December,10:29:00,6106,hispanic_or_latino,DOWNTOWN,55,hispanic,male,09739d95d7,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Cell Phone,W,H,N,I
1322,December,10:39:00,6106,hispanic_or_latino,SHELDON-CHARTER OAK,53,white,male,64c45ad59f,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Traffic Control Signal,W,N,N,I
1298,December,10:53:00,6106,hispanic_or_latino,DOWNTOWN,53,hispanic,male,09739d95d7,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Cell Phone,W,H,N,M
1304,December,11:05:00,6106,hispanic_or_latino,SHELDON-CHARTER OAK,42,white,female,64c45ad59f,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Traffic Control Signal,W,N,N,I
1315,December,11:29:00,6106,hispanic_or_latino,BEHIND THE ROCKS,21,hispanic,male,6f73b6b0a3,Hartford,vehicular,FALSE,FALSE,TRUE,warning,,FALSE,FALSE,,Display of Plates,W,H,N,V
1318,December,11:36:00,6106,hispanic_or_latino,PARKVILLE,42,hispanic,male,6f73b6b0a3,Hartford,vehicular,FALSE,FALSE,TRUE,warning,,FALSE,FALSE,,Display of Plates,W,H,N,W
1327,December,11:39:00,6106,hispanic_or_latino,SHELDON-CHARTER OAK,56,white,female,64c45ad59f,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Stop Sign,W,N,N,I
1285,December,11:44:00,6105,white,ASYLUM HILL,24,black,male,d3be705adb,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Other,B,N,N,M
1283,December,11:45:00,6106,hispanic_or_latino,PARKVILLE,38,hispanic,male,6f73b6b0a3,Hartford,vehicular,FALSE,FALSE,TRUE,warning,,FALSE,FALSE,,Display of Plates,W,H,N,W
1309,December,11:58:00,6103,white,DOWNTOWN,53,white,male,09739d95d7,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Window Tint,W,N,N,N
1328,December,12:15:00,6106,hispanic_or_latino,SHELDON-CHARTER OAK,51,white,female,64c45ad59f,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Stop Sign,W,N,N,I
1286,December,12:16:00,6042,white,,30,hispanic,male,09739d95d7,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Cell Phone,W,H,N,I
1324,December,12:18:00,6114,hispanic_or_latino,SOUTH WEST,39,hispanic,male,b412aea223,Hartford,vehicular,FALSE,FALSE,TRUE,warning,,FALSE,FALSE,,Stop Sign,W,H,N,W
1303,December,12:28:00,6106,hispanic_or_latino,SOUTH GREEN,25,white,male,09739d95d7,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Other,W,N,N,I
1316,December,12:39:00,6106,hispanic_or_latino,BEHIND THE ROCKS,51,hispanic,male,eeb3021e4a,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Stop Sign,W,H,N,I
1282,December,12:40:00,6114,hispanic_or_latino,SOUTH MEADOWS,27,black,female,8b2fef1448,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Stop Sign,B,N,N,M
1307,December,12:45:00,6102,hispanic_or_latino,SOUTH GREEN,50,hispanic,female,09739d95d7,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Window Tint,W,H,N,I
1284,December,12:45:00,6106,hispanic_or_latino,BEHIND THE ROCKS,68,hispanic,male,eeb3021e4a,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Stop Sign,W,H,N,I
1311,December,12:56:00,6102,hispanic_or_latino,SOUTH GREEN,27,black,male,09739d95d7,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Window Tint,B,N,N,M
1306,December,13:00:00,6106,hispanic_or_latino,SHELDON-CHARTER OAK,53,white,female,64c45ad59f,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Stop Sign,W,N,N,I
1299,December,13:01:00,6106,hispanic_or_latino,BEHIND THE ROCKS,26,black,female,eeb3021e4a,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Stop Sign,B,N,N,I
1296,December,13:24:00,6106,hispanic_or_latino,BEHIND THE ROCKS,35,hispanic,male,eeb3021e4a,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Stop Sign,W,H,N,I
1292,December,13:26:00,6112,black,UPPER ALBANY,52,black,male,8d927f52b8,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Suspended License,B,N,N,M
1320,December,13:36:00,6106,hispanic_or_latino,BEHIND THE ROCKS,66,white,female,eeb3021e4a,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Stop Sign,W,N,N,I
1300,December,13:37:00,6103,white,DOWNTOWN,39,white,female,09739d95d7,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Cell Phone,W,N,N,I
1287,December,13:37:00,6106,hispanic_or_latino,WEST END,26,hispanic,male,6f73b6b0a3,Hartford,vehicular,FALSE,FALSE,TRUE,warning,,FALSE,FALSE,,Display of Plates,W,H,N,V
1301,December,13:41:00,6106,hispanic_or_latino,BARRY SQUARE,24,hispanic,male,09739d95d7,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Suspended License,W,H,N,M
1310,December,13:45:00,6106,hispanic_or_latino,BEHIND THE ROCKS,39,hispanic,male,eeb3021e4a,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Stop Sign,W,H,N,I
1325,December,13:55:00,6117,white,UPPER ALBANY,27,white,male,d3be705adb,Hartford,vehicular,TRUE,FALSE,FALSE,arrest,,FALSE,FALSE,,Other,W,N,N,U
1289,December,14:55:00,6120,black,NORTHEAST,30,hispanic,male,47d3cb2a78,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Other,W,H,N,M
1305,December,15:08:00,6114,hispanic_or_latino,SOUTH END,27,white,male,09739d95d7,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Window Tint,W,N,N,I
1280,December,15:13:00,6106,hispanic_or_latino,SHELDON-CHARTER OAK,33,black,female,e63932a5a8,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Window Tint,B,N,N,I
1293,December,16:44:00,6102,hispanic_or_latino,SOUTH GREEN,32,black,male,09739d95d7,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Registration,B,N,N,M
1319,December,16:50:00,6112,black,NORTHEAST,58,black,male,8a91d3b550,Hartford,vehicular,FALSE,FALSE,TRUE,warning,,FALSE,FALSE,,Display of Plates,B,N,N,V
1297,December,17:43:00,6106,hispanic_or_latino,SOUTH GREEN,25,white,male,ce747410a8,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Cell Phone,W,N,N,I
1314,December,18:00:00,6385,white,,32,hispanic,female,0b0f236c43,Hartford,vehicular,FALSE,FALSE,TRUE,warning,,FALSE,FALSE,,Traffic Control Signal,W,H,N,V
1323,December,18:09:00,6106,hispanic_or_latino,SOUTH GREEN,38,hispanic,female,ce747410a8,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Traffic Control Signal,W,H,N,I
1308,December,19:57:00,6112,black,NORTHEAST,20,black,male,e63932a5a8,Hartford,vehicular,TRUE,FALSE,FALSE,arrest,TRUE,TRUE,TRUE,consent,Moving Violation,B,N,C,U
1312,December,21:44:00,6114,hispanic_or_latino,BARRY SQUARE,56,white,male,b0b43009dc,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Traffic Control Signal,W,N,N,N
1351,December,1:30:00,6106,hispanic_or_latino,SOUTH GREEN,32,black,male,3013a5919f,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Speed Related,B,N,N,I
1340,December,3:25:00,6112,black,UPPER ALBANY,34,black,male,4c22a3ba88,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Traffic Control Signal,B,N,N,I
1354,December,7:47:00,6114,hispanic_or_latino,SOUTH END,50,black,female,8d927f52b8,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Suspended License,B,N,N,M
